Datum,Eroeffnung,Schluss,Tageshoch,Tagestief,Umsatz,Umsatz in Stueck,Tag,Monat,Jahr
2023-12-12,11.015,10.615,11.115,10.51,484681,45199,12,12,2023
2023-12-11,11.26,11.085,11.4,10.75,1354560,124164,11,12,2023
2023-12-08,11.33,11.28,11.475,11.0,1423146,125719,8,12,2023
2023-12-07,11.81,11.615,11.81,11.52,366824,31625,7,12,2023
2023-12-06,11.635,11.88,11.95,11.535,396316,33446,6,12,2023
2023-12-05,11.405,11.615,11.655,11.24,358671,31232,5,12,2023
2023-12-04,11.395,11.36,11.565,11.275,366220,32009,4,12,2023
2023-12-01,10.96,11.31,11.405,10.96,327005,29009,1,12,2023
2023-11-30,10.85,10.88,10.965,10.79,161184,14814,30,11,2023
2023-11-29,10.51,10.84,10.98,10.495,523108,48184,29,11,2023
2023-11-28,10.77,10.485,10.82,10.395,325143,30799,28,11,2023
2023-11-27,10.825,10.8,10.905,10.68,173700,16045,27,11,2023
2023-11-24,10.845,10.785,10.845,10.685,145428,13539,24,11,2023
2023-11-23,10.83,10.825,11.185,10.7,207301,19115,23,11,2023
2023-11-22,10.97,10.89,11.1,10.65,606414,55511,22,11,2023
2023-11-21,11.92,11.045,12.065,10.75,1805445,161430,21,11,2023
2023-11-20,11.795,11.9,12.095,11.645,1878200,156969,20,11,2023
2023-11-17,10.93,11.735,11.735,10.895,1121261,97811,17,11,2023
2023-11-16,11.185,10.81,11.34,10.65,2118699,193200,16,11,2023
2023-11-15,10.35,11.05,11.325,10.315,6814682,630728,15,11,2023
2023-11-14,10.3,10.18,10.39,9.99,1676937,163611,14,11,2023
2023-11-13,9.51,10.215,10.31,9.45,1348448,136711,13,11,2023
2023-11-10,9.678,9.434,9.79,9.3,320966,33807,10,11,2023
2023-11-09,9.232,9.64,9.748,9.1,888671,94125,9,11,2023
2023-11-08,9.352,9.206,9.688,9.1,744150,79535,8,11,2023
2023-11-07,9.298,9.27,9.46,8.89,794219,87307,7,11,2023
2023-11-06,9.8,9.36,9.97,9.25,1114165,116455,6,11,2023
2023-11-03,8.9,9.636,9.79,8.88,1756620,184840,3,11,2023
2023-11-02,8.314,8.83,8.96,8.298,1428146,163208,2,11,2023
2023-11-01,8.504,8.302,8.528,8.194,681668,81932,1,11,2023
