Datum,Eroeffnung,Tageshoch,Tagestief,Schluss,Umsatz,RSI,SMA,EMA,DEMA
1999-11-01,68.06,71.88,66.31,69.13,12824100.0,0.0,0.0,0.0,0.0
1999-11-02,69.75,70.0,65.06,66.44,13243200.0,0.0,0.0,0.0,0.0
1999-11-03,68.19,68.5,65.0,65.81,10772100.0,0.0,0.0,0.0,0.0
1999-11-04,67.19,67.19,61.0,63.06,16759200.0,0.0,0.0,0.0,0.0
1999-11-05,64.75,65.5,62.25,64.94,11091400.0,0.0,0.0,0.0,0.0
1999-11-08,64.81,80.0,63.5,78.0,32339400.0,0.0,0.0,0.0,0.0
1999-11-09,80.88,83.06,70.0,70.81,26477100.0,0.0,0.0,0.0,0.0
1999-11-10,71.56,75.0,70.13,72.0,11506700.0,0.0,0.0,0.0,0.0
1999-11-11,74.75,75.0,71.38,73.0,9293900.0,0.0,0.0,0.0,0.0
1999-11-12,73.75,75.0,70.81,74.94,10319600.0,0.0,3.4906,3.4906,0.0
1999-11-15,75.63,76.0,73.31,73.5,6437200.0,0.0,3.5125,3.5242,0.0
1999-11-16,74.25,79.63,73.75,78.94,15238700.0,0.0,3.575,3.601,0.0
1999-11-17,77.94,80.0,75.44,76.5,6657400.0,0.0,3.6284,3.6418,0.0
1999-11-18,76.75,78.19,75.25,77.94,5810400.0,0.0,3.7028,3.6882,0.0
1999-11-19,77.88,78.13,76.06,77.94,5760600.0,60.2228,3.7678,3.7261,0.0
1999-11-22,77.88,82.5,76.0,80.5,10708400.0,62.6147,3.7804,3.7805,0.0
1999-11-23,80.38,85.63,76.25,81.75,18332500.0,63.7606,3.835,3.8363,0.0
1999-11-24,84.25,87.75,83.25,87.25,14483100.0,68.3565,3.9113,3.932,0.0
1999-11-26,91.06,95.13,90.5,93.13,11496000.0,72.3882,4.012,4.0637,4.399
1999-11-29,95.5,96.88,90.13,90.44,18053700.0,68.1127,4.0894,4.147,4.4895
1999-11-30,88.27,88.88,83.81,85.06,13465500.0,60.4257,4.1472,4.1663,4.4623
1999-12-01,87.25,87.63,81.97,85.0,10663600.0,60.3439,4.1775,4.1815,4.4361
1999-12-02,86.0,91.31,85.63,89.06,9538700.0,63.9044,4.2403,4.2309,4.4796
1999-12-03,92.5,93.38,86.06,86.56,11151200.0,60.3134,4.2834,4.2485,4.4665
1999-12-06,86.88,89.88,84.69,87.38,9199200.0,61.0858,4.3306,4.2704,4.4667
1999-12-07,88.0,88.0,84.38,86.06,6727100.0,59.092,4.3584,4.2764,4.4418
1999-12-08,86.81,93.0,86.75,88.0,12867200.0,61.1015,4.3897,4.2988,4.4526
1999-12-09,95.25,113.0,93.44,103.6,41364600.0,72.7102,4.4714,4.4591,4.7159
1999-12-10,111.4,112.0,104.4,106.7,14929000.0,74.3484,4.5393,4.6183,4.9588
1999-12-13,106.6,106.6,101.5,102.5,8653700.0,68.3607,4.5996,4.7104,5.0644
1999-12-14,103.8,104.0,95.0,95.63,10107900.0,59.8675,4.6524,4.7234,5.0235
1999-12-15,92.88,99.44,91.0,96.5,10133500.0,60.5361,4.71,4.7418,5.0025
1999-12-16,98.25,98.75,93.5,94.88,7004400.0,58.5789,4.7391,4.7422,4.9559
1999-12-17,97.19,97.63,93.81,94.06,5955900.0,57.5644,4.7766,4.7351,4.904
1999-12-20,97.75,101.6,95.06,97.0,10566600.0,60.2242,4.8246,4.756,4.9113
1999-12-21,96.56,100.4,96.56,99.88,9509500.0,62.6912,4.8938,4.7993,4.9618
1999-12-22,100.6,100.6,95.5,97.69,5921000.0,59.661,4.9422,4.8148,4.9604
1999-12-23,98.0,99.0,89.06,90.0,12914600.0,50.4412,4.8742,4.7575,4.8299
