Datum,Eroeffnung,Tageshoch,Tagestief,Schluss,Umsatz,RSI,SMA,EMA,DEMA
1999-11-01,80.0,80.69,77.37,77.62,2487300.0,0.0,0.0,0.0,0.0
1999-11-02,78.0,81.69,77.31,80.25,3564600.0,0.0,0.0,0.0,0.0
1999-11-03,81.62,83.25,81.0,81.5,2932700.0,0.0,0.0,0.0,0.0
1999-11-04,82.06,85.37,80.62,83.62,3384700.0,0.0,0.0,0.0,0.0
1999-11-05,84.62,88.37,84.0,88.31,3721500.0,0.0,0.0,0.0,0.0
1999-11-08,87.75,97.73,86.75,96.37,8490400.0,0.0,0.0,0.0,0.0
1999-11-09,94.37,94.5,88.0,89.62,7224800.0,0.0,0.0,0.0,0.0
1999-11-10,88.25,93.25,88.12,91.44,5159800.0,0.0,0.0,0.0,0.0
1999-11-11,91.59,92.62,89.87,92.25,2409600.0,0.0,0.0,0.0,0.0
1999-11-12,91.94,92.0,87.37,90.62,2491600.0,0.0,0.6588,0.6588,0.0
1999-11-15,89.62,92.87,88.5,89.44,2320600.0,0.0,0.6677,0.6619,0.0
1999-11-16,90.0,91.75,88.5,91.19,2088000.0,0.0,0.676,0.6669,0.0
1999-11-17,90.69,94.75,90.0,90.25,3255100.0,0.0,0.6826,0.6697,0.0
1999-11-18,91.06,91.12,88.44,89.62,3257000.0,0.0,0.6871,0.6711,0.0
1999-11-19,89.5,92.87,88.06,92.44,2790300.0,69.9838,0.6902,0.6761,0.0
1999-11-22,91.75,91.75,89.25,90.62,1806800.0,66.4703,0.6859,0.6777,0.0
1999-11-23,91.75,95.25,88.5,92.81,4851000.0,68.5184,0.6883,0.682,0.0
1999-11-24,93.0,95.0,91.69,94.69,1920600.0,70.2012,0.6908,0.6881,0.0
1999-11-26,94.75,95.5,94.12,95.06,1179200.0,70.535,0.6929,0.6937,0.7127
1999-11-29,94.25,99.75,93.25,94.56,4144300.0,69.4036,0.6959,0.6975,0.7162
1999-11-30,98.12,103.75,97.37,97.87,7528400.0,72.5435,0.7022,0.7052,0.7268
1999-12-01,101.0,104.5,100.06,103.06,5522900.0,76.5988,0.7112,0.7186,0.7472
1999-12-02,103.12,110.62,101.75,110.19,5065700.0,80.7953,0.7263,0.7394,0.7798
1999-12-03,112.19,115.56,111.87,115.0,5785000.0,83.0089,0.7455,0.763,0.8154
1999-12-06,114.56,117.31,111.44,116.0,4167700.0,83.4364,0.7633,0.7837,0.8435
1999-12-07,116.56,118.0,114.0,117.81,3973400.0,84.2107,0.7838,0.8031,0.8679
1999-12-08,116.25,117.87,109.5,110.06,3681700.0,69.2776,0.7969,0.8083,0.8656
