date,1. open,2. high,3. low,4. close,5. volume,RSI,EMA
2004-08-19,100.01,104.06,95.96,100.335,44659000.0,,
2004-08-20,101.01,109.08,100.5,108.31,22834300.0,,
2004-08-23,110.76,113.48,109.05,109.4,18256100.0,,
2004-08-24,111.24,111.6,103.57,104.87,15247300.0,,
2004-08-25,104.76,108.0,103.88,106.0,9188600.0,,
2004-08-26,104.95,107.95,104.66,107.91,7094800.0,,
2004-08-27,108.1,108.62,105.69,106.15,6211700.0,,
2004-08-30,105.28,105.49,102.01,102.01,5196700.0,,
2004-08-31,102.32,103.71,102.16,102.37,4917800.0,,
2004-09-01,102.7,102.97,99.67,100.25,9138200.0,,2.6271
2004-09-02,99.09,102.37,98.94,101.51,15118600.0,,2.6123
2004-09-03,100.95,101.74,99.32,100.01,5152400.0,,2.5933
2004-09-07,101.01,102.0,99.61,101.58,5847500.0,,2.585
2004-09-08,100.74,103.03,100.5,102.3,4985600.0,,2.5814
2004-09-09,102.5,102.71,101.0,102.31,4061700.0,53.2835,2.5786
2004-09-10,101.47,106.56,101.3,105.33,8698800.0,57.8424,2.59
2004-09-13,106.63,108.41,106.46,107.5,7844100.0,60.8024,2.6092
2004-09-14,107.44,112.0,106.79,111.49,10828900.0,65.5868,2.6432
2004-09-15,110.56,114.23,110.2,112.0,10713000.0,66.1555,2.6733
2004-09-16,112.34,115.8,111.65,113.97,9266300.0,68.3323,2.7069
2004-09-17,114.42,117.49,113.55,117.49,9472500.0,71.8199,2.7504
2004-09-20,116.95,121.6,116.77,119.36,10628700.0,73.4903,2.7946
2004-09-21,120.2,120.42,117.51,117.84,7228700.0,69.8653,2.8237
2004-09-22,117.45,119.67,116.81,118.38,7581200.0,70.4234,2.8501
2004-09-23,118.84,122.63,117.02,120.82,8535600.0,72.8688,2.8828
2004-09-24,120.97,124.1,119.76,119.83,9123400.0,70.3281,2.905
2004-09-27,119.56,120.88,117.8,118.26,7066100.0,66.3756,2.916
2004-09-28,121.15,127.4,120.21,126.86,16929000.0,74.7476,2.9643
2004-09-29,126.53,135.02,126.23,131.08,30516400.0,77.6838,3.023
2004-09-30,129.899,132.3,129.0,129.6,13758000.0,74.4158,3.0643
2004-10-01,130.8,134.24,128.9,132.58,15124800.0,76.5545,3.1116
2004-10-04,135.275,136.87,134.03,135.06,13022700.0,78.1887,3.1617
2004-10-05,134.66,138.53,132.24,138.37,14973200.0,80.1748,3.2177
2004-10-06,137.67,138.45,136.0,137.08,13381400.0,77.2234,3.2577
2004-10-07,136.56,139.88,136.55,138.85,14115000.0,78.3984,3.2985
2004-10-08,138.73,139.68,137.02,137.73,11069500.0,75.736,3.3267
2004-10-11,137.01,138.86,133.85,135.26,10472100.0,70.0834,3.3386
2004-10-12,134.49,137.61,133.4,137.4,11665500.0,72.0311,3.3581
2004-10-13,143.24,143.55,140.08,140.9,19766200.0,74.9083,3.3899
2004-10-14,141.02,142.38,138.56,142.0,10442100.0,75.7526,3.421
2004-10-15,144.95,145.5,141.95,144.11,13194700.0,77.3284,3.4561
2004-10-18,143.12,149.2,141.21,149.16,14036300.0,80.5812,3.5078
2004-10-19,150.5,152.4,147.35,147.94,18109800.0,77.6816,3.5446
2004-10-20,147.94,148.99,139.6,140.49,22722600.0,62.8165,3.5407
2004-10-21,144.13,150.13,141.62,149.38,29149800.0,70.1556,3.578
2004-10-22,170.435,180.17,164.08,172.43,73710000.0,80.7594,3.7137
2004-10-25,176.28,194.43,172.55,187.4,65462800.0,84.5891,3.8929
2004-10-26,186.449,192.64,180.0,181.8,44569500.0,78.3098,4.014
2004-10-27,182.509,189.52,181.77,185.97,26686200.0,79.5285,4.1321
2004-10-28,186.63,194.39,185.6,193.3,29663900.0,81.4965,4.2622
2004-10-29,198.87,199.95,190.6,190.64,42282600.0,78.5455,4.3565
2004-11-01,193.5,197.67,191.27,196.03,24425300.0,80.1166,4.4582
2004-11-02,198.73,199.25,193.34,194.87,22669900.0,78.7796,4.5361
2004-11-03,198.19,201.6,190.75,191.67,27749600.0,75.0582,4.5853
2004-11-04,188.25,190.4,183.35,184.7,28790300.0,67.571,4.5938
2004-11-05,182.0,182.3,168.55,169.35,39626500.0,54.6434,4.5307
2004-11-08,170.86,175.44,169.4,172.55,22361200.0,56.5113,4.4937
2004-11-09,174.1,175.2,165.27,168.7,22106200.0,53.6487,4.4458
2004-11-10,170.67,172.52,166.33,167.86,21266700.0,53.0176,4.4029
2004-11-11,169.32,183.75,167.57,183.02,29941000.0,61.7599,4.4368
2004-11-12,185.23,189.8,177.4,182.0,33458700.0,60.9383,4.46
2004-11-15,180.45,188.32,178.75,184.87,23779100.0,62.4519,4.492
2004-11-16,174.39,179.47,170.83,172.545,41792900.0,52.961,4.462
2004-11-17,169.02,177.5,169.0,172.5,36229500.0,52.9293,4.4372
2004-11-18,170.4,174.42,165.73,167.54,33225900.0,49.4257,4.3944
2004-11-19,169.06,169.98,166.52,169.4,17521000.0,50.7425,4.3678
2004-11-22,168.6,169.5,161.31,165.1,24711600.0,47.6535,4.3264
2004-11-23,167.915,170.83,166.5,167.52,24801700.0,49.5161,4.3036
2004-11-24,174.84,177.21,172.51,174.76,30531400.0,54.7085,4.318
2004-11-26,175.8,180.03,175.32,179.39,12947200.0,57.7045,4.3508
2004-11-29,180.255,182.95,177.51,181.05,21311800.0,58.7578,4.3853
2004-11-30,180.7,183.0,180.25,181.98,15384600.0,59.3683,4.4177
2004-12-01,181.77,182.5,179.55,179.96,15712400.0,57.3814,4.435
2004-12-02,179.9,181.51,178.55,179.4,12509200.0,56.8137,4.4466
2004-12-03,180.0,181.06,177.6,180.4,11726600.0,57.62,4.4607
2004-12-06,179.13,180.7,176.02,176.29,12495400.0,53.2219,4.4534
2004-12-07,176.0,176.2,170.55,171.43,13728000.0,48.507,4.4254
2004-12-08,170.57,173.68,168.73,169.98,15068500.0,47.1645,4.3958
2004-12-09,170.25,173.5,168.47,173.43,15292600.0,50.6633,4.3873
2004-12-10,173.43,174.88,171.29,171.65,8625700.0,48.8654,4.3723
2004-12-13,172.03,173.18,169.45,170.45,9627500.0,47.638,4.3545
2004-12-14,171.0,178.82,169.6,178.69,22154600.0,55.8403,4.3775
2004-12-15,177.99,180.69,176.66,179.78,22919000.0,56.8042,4.4013
2004-12-16,177.22,180.49,175.95,176.47,17128400.0,53.0195,4.4057
2004-12-17,176.76,180.5,176.55,180.08,14757600.0,56.4292,4.4257
2004-12-20,182.0,188.46,181.87,185.02,19649300.0,60.6391,4.4647
2004-12-21,186.28,187.88,183.4,183.75,11021500.0,59.0592,4.4907
2004-12-22,183.9,186.85,183.01,186.3,7806100.0,61.2427,4.5237
2004-12-23,187.45,188.6,186.0,187.9,7221900.0,62.5908,4.5579
2004-12-27,189.43,193.3,189.1,191.91,12195900.0,65.8015,4.6042
2004-12-28,192.11,193.55,191.01,192.76,8283300.0,66.4586,4.646
2004-12-29,191.97,193.52,191.78,192.9,5350800.0,66.5726,4.6808
2004-12-30,192.97,198.23,191.85,197.6,11796700.0,70.2287,4.7307
2004-12-31,199.23,199.88,192.56,192.79,15321600.0,62.6737,4.7496
2005-01-03,197.4,203.64,195.46,202.71,31656700.0,69.8721,4.8103
2005-01-04,201.33,202.93,193.48,194.5,27484200.0,59.6237,4.8225
2005-01-05,193.45,196.9,192.23,193.51,16456700.0,58.5092,4.828
2005-01-06,195.25,195.9,187.72,188.55,20753400.0,53.1492,4.8099
2005-01-07,190.64,194.25,188.78,193.85,19306400.0,57.6172,4.8192
2005-01-10,194.5,198.1,191.83,195.06,15064100.0,58.5882,4.8324
2005-01-11,195.62,197.71,193.18,193.54,13903400.0,56.8269,4.8362
2005-01-12,194.33,195.93,190.5,195.38,16339200.0,58.455,4.8478
2005-01-13,195.38,197.39,194.05,195.33,13685100.0,58.3906,4.857
2005-01-14,196.0,200.01,194.13,199.97,19261300.0,62.5198,4.8856
2005-01-18,200.89,205.02,198.66,203.9,26318800.0,65.6308,4.927
2005-01-19,204.64,205.3,196.71,197.3,22492800.0,57.0644,4.9308
2005-01-20,192.58,196.25,192.0,193.92,17985100.0,53.2323,4.9185
2005-01-21,194.44,195.36,188.12,188.28,18498200.0,47.5004,4.8827
2005-01-24,188.69,189.33,180.32,180.72,28017300.0,41.1103,4.8189
2005-01-25,182.2,182.24,176.29,177.12,21297000.0,38.4572,4.7503
2005-01-26,179.27,189.41,179.15,189.24,24591100.0,50.1267,4.7495
