Datum,Eroeffnung,Tageshoch,Tagestief,Schluss,Umsatz,RSI,SMA,EMA,DEMA
1999-11-01,98.5,98.81,96.37,96.75,9551800.0,0.0,0.0,0.0,0.0
1999-11-02,96.75,96.81,93.69,94.81,11105400.0,0.0,0.0,0.0,0.0
1999-11-03,95.87,95.94,93.5,94.37,10369100.0,0.0,0.0,0.0,0.0
1999-11-04,94.44,94.44,90.0,91.56,16697600.0,0.0,0.0,0.0,0.0
1999-11-05,92.75,92.94,90.19,90.25,13737600.0,0.0,0.0,0.0,0.0
1999-11-08,90.5,93.94,90.5,93.94,8522300.0,0.0,0.0,0.0,0.0
1999-11-09,95.06,95.5,92.12,93.62,9551200.0,0.0,0.0,0.0,0.0
1999-11-10,94.62,97.06,94.12,97.0,8680300.0,0.0,0.0,0.0,0.0
1999-11-11,97.5,97.5,94.87,95.0,7147500.0,0.0,0.0,0.0,0.0
1999-11-12,96.0,96.25,93.0,95.87,9668400.0,0.0,49.0889,49.0889,0.0
1999-11-15,96.0,96.37,93.87,94.06,6259400.0,0.0,48.9552,49.0702,0.0
1999-11-16,94.62,95.0,93.0,94.62,8537400.0,0.0,48.9516,49.108,0.0
1999-11-17,94.87,94.87,92.62,93.75,8355100.0,0.0,48.9256,49.0565,0.0
1999-11-18,94.0,98.25,93.56,98.0,18720500.0,0.0,49.2671,49.4168,0.0
1999-11-19,99.0,105.12,98.37,103.94,19678400.0,62.0696,49.9861,50.274,0.0
1999-11-22,105.5,108.44,104.44,107.87,13681600.0,66.7188,50.7115,51.3475,0.0
1999-11-23,108.81,109.87,106.0,106.06,10665200.0,62.8952,51.3594,52.0545,0.0
1999-11-24,105.0,105.0,101.81,104.5,9710400.0,59.7185,51.75,52.4852,0.0
1999-11-26,105.94,106.0,104.12,105.0,3108400.0,60.4087,52.2708,52.8849,55.2911
1999-11-29,104.94,104.94,103.37,104.19,5677700.0,58.6553,52.7041,53.1352,55.3088
1999-11-30,103.69,104.5,102.12,103.06,5758700.0,56.2044,53.1728,53.2331,55.0915
1999-12-01,102.56,104.44,102.25,103.42,5336400.0,56.8234,53.6311,53.3472,54.9611
1999-12-02,103.44,106.31,103.37,105.27,6216900.0,59.9555,54.2311,53.6158,55.156
1999-12-03,109.81,112.87,107.94,111.87,14680300.0,68.6838,54.9534,54.4604,56.4117
1999-12-06,113.0,116.5,112.5,116.0,9928300.0,72.6945,55.5815,55.5426,58.0245
1999-12-07,117.0,119.19,115.44,116.62,11326100.0,73.2484,56.0372,56.4867,59.2899
1999-12-08,116.25,121.0,115.5,118.28,8139800.0,74.7267,56.6736,57.4164,60.4705
1999-12-09,120.5,122.12,112.25,113.37,16643000.0,63.5422,57.1356,57.7121,60.4528
1999-12-10,111.62,111.94,107.56,109.0,12588800.0,55.5702,57.3439,57.5402,59.642
1999-12-13,108.12,112.75,106.56,109.7,7135200.0,56.5114,57.6308,57.4659,59.1247
1999-12-14,110.19,110.19,106.87,109.25,7437900.0,55.6946,57.9532,57.3625,58.6351
1999-12-15,107.75,107.94,104.5,107.0,9437900.0,51.673,58.1397,57.0648,57.8625
1999-12-16,108.0,109.69,105.75,109.19,7122300.0,55.0734,58.3438,57.0286,57.6517
1999-12-17,110.69,111.06,108.62,110.0,7676800.0,56.2982,58.2464,57.0757,57.624
1999-12-20,109.06,110.44,107.75,109.2,4836300.0,54.7118,57.8923,57.0385,57.4566
1999-12-21,108.5,110.12,108.06,110.12,4773500.0,56.239,57.5538,57.0952,57.4836
1999-12-22,109.87,110.31,108.0,108.0,4005600.0,51.896,57.0184,56.9408,57.1323
1999-12-23,109.12,110.44,108.19,108.62,4528700.0,53.0382,56.771,56.8732,56.9746
1999-12-27,109.69,110.0,108.12,109.75,3740700.0,55.1294,56.8101,56.9249,57.0501
1999-12-28,109.56,110.75,109.06,109.81,4083100.0,55.2433,56.8158,56.9728,57.1145
1999-12-29,110.44,110.5,108.75,109.0,2683300.0,53.2761,56.8028,56.9354,57.0207
1999-12-30,109.69,110.5,108.56,108.75,3435100.0,52.6529,56.8939,56.8811,56.9064
1999-12-31,109.19,109.5,106.62,107.87,2870300.0,50.4172,56.8252,56.7533,56.6695
2000-01-03,112.44,116.0,111.87,116.0,10347700.0,65.1428,57.1377,57.4186,57.8944
2000-01-04,114.0,114.5,110.87,112.06,8227800.0,56.4007,57.2866,57.5898,58.1192
2000-01-05,112.94,119.75,112.12,116.0,12733200.0,61.9061,57.5928,58.103,58.9561
2000-01-06,118.0,118.94,113.5,114.0,7971900.0,57.9087,57.9053,58.3335,59.2201
2000-01-07,117.25,117.94,110.62,113.5,11856700.0,56.9192,58.1595,58.4748,59.3157
2000-01-10,117.25,119.37,115.37,118.0,8540500.0,63.0404,58.5891,59.0165,60.1477
2000-01-11,117.87,121.12,116.62,119.0,7873300.0,64.2558,59.0677,59.5544,60.92
2000-01-12,119.62,122.0,118.25,119.5,6803800.0,64.8777,59.6146,60.0418,61.5579
2000-01-13,119.94,121.0,115.75,118.25,8489700.0,61.9746,60.1093,60.3222,61.7921
2000-01-14,120.94,123.31,117.5,119.62,10956600.0,63.8822,60.7213,60.6814,62.1779
2000-01-18,119.69,119.75,115.0,115.75,7643900.0,55.4238,60.7082,60.6088,61.7739
2000-01-19,115.56,122.0,112.69,119.5,8634500.0,60.8352,61.0957,60.9045,62.0997
2000-01-20,123.0,124.75,119.0,119.0,17783400.0,59.7929,61.2519,61.0991,62.2362
2000-01-21,121.87,123.0,119.94,121.5,7868700.0,63.1889,61.6425,61.4951,62.7494
2000-01-24,121.87,122.87,116.56,121.5,6499200.0,63.1889,62.0592,61.819,63.1103
2000-01-25,116.75,119.5,116.0,119.12,6936900.0,57.7989,62.1175,61.8587,62.9477
2000-01-26,119.06,119.94,116.0,116.75,4895100.0,52.9549,62.0003,61.6668,62.4007
2000-01-27,118.0,118.44,111.62,113.5,8324600.0,47.1227,61.6879,61.202,61.4222
2000-01-28,112.75,114.19,110.06,111.56,6669400.0,44.007,61.3394,60.638,60.3567
2000-01-31,111.37,112.81,109.62,112.25,6202700.0,45.39,60.9556,60.2419,59.6877
2000-02-01,112.37,113.44,109.12,110.0,7304700.0,41.7672,60.6562,59.7048,58.8118
2000-02-02,112.0,115.81,110.37,113.5,7707700.0,48.6351,60.3437,59.5967,58.7777
2000-02-03,115.0,117.5,114.06,117.12,6213800.0,54.5992,60.2458,59.8511,59.3891
2000-02-04,118.19,118.44,114.81,115.62,5405300.0,51.9096,59.9395,59.9171,59.5932
2000-02-07,116.0,116.87,113.12,114.12,5779500.0,49.2945,59.5552,59.8292,59.4922
2000-02-08,116.94,119.0,116.19,118.81,5464300.0,56.8086,59.5453,60.2127,60.2507
2000-02-09,119.0,119.75,117.0,117.37,5374700.0,54.2157,59.5838,60.3899,60.5661
2000-02-10,117.69,119.12,116.87,119.12,4446600.0,56.7965,59.8827,60.7008,61.0994
2000-02-11,119.06,119.44,114.56,115.37,5749400.0,50.2587,60.0872,60.5998,60.8432
2000-02-14,116.0,116.37,114.5,116.06,4544000.0,51.368,60.2917,60.5825,60.7675
2000-02-15,115.87,117.44,113.87,117.12,5177500.0,53.0984,60.6687,60.6688,60.8908
2000-02-16,116.5,117.31,115.25,115.75,3966900.0,50.5928,60.792,60.6096,60.7428
2000-02-17,116.5,118.87,115.75,116.75,5237500.0,52.3599,60.7788,60.6559,60.8028
2000-02-18,115.25,115.94,111.5,112.5,7673400.0,44.9944,60.6223,60.291,60.1126
