Datum,Eroeffnung,Tageshoch,Tagestief,Schluss,Umsatz,RSI,SMA,EMA,DEMA
1999-11-01,93.25,94.19,92.12,92.37,26630600.0,0.0,0.0,0.0,0.0
1999-11-02,92.75,94.5,91.94,92.56,23174500.0,0.0,0.0,0.0,0.0
1999-11-03,92.94,93.5,91.5,92.0,22258500.0,0.0,0.0,0.0,0.0
1999-11-04,92.31,92.75,90.31,91.75,27119700.0,0.0,0.0,0.0,0.0
1999-11-05,91.81,92.87,90.5,91.56,35083700.0,0.0,0.0,0.0,0.0
1999-11-08,84.81,90.75,84.37,89.94,121909600.0,0.0,0.0,0.0,0.0
1999-11-09,89.75,89.87,86.44,88.87,54884900.0,0.0,0.0,0.0,0.0
1999-11-10,88.12,89.12,86.44,87.12,34692700.0,0.0,0.0,0.0,0.0
1999-11-11,88.25,90.44,88.25,89.62,34637300.0,0.0,0.0,0.0,0.0
1999-11-12,89.75,90.0,87.06,89.19,24707100.0,0.0,28.0591,28.0591,0.0
1999-11-15,88.25,88.5,86.94,87.0,23540200.0,0.0,27.8926,27.8619,0.0
1999-11-16,86.94,87.75,85.87,87.31,29582600.0,0.0,27.7298,27.7181,0.0
1999-11-17,86.44,87.06,85.0,85.0,33409500.0,0.0,27.5128,27.4701,0.0
1999-11-18,84.94,85.81,84.5,84.94,32246600.0,0.0,27.3017,27.2639,0.0
1999-11-19,84.44,86.56,84.37,86.0,29113000.0,28.0193,27.1293,27.1549,0.0
1999-11-22,89.62,90.37,88.44,89.81,45298300.0,43.9039,27.1252,27.2805,0.0
1999-11-23,89.25,91.37,88.37,89.62,35393700.0,43.3896,27.1485,27.3726,0.0
1999-11-24,89.56,92.25,89.5,91.69,26885500.0,50.2292,27.2902,27.5646,0.0
1999-11-26,91.62,93.37,91.0,91.12,14257100.0,48.4919,27.3367,27.6896,27.8356
1999-11-29,90.12,92.06,89.5,90.19,25730100.0,45.7136,27.3677,27.7394,27.8997
1999-11-30,89.75,92.87,89.56,91.05,32072800.0,48.6438,27.4933,27.8287,28.0328
1999-12-01,91.06,93.94,90.87,93.19,24432100.0,55.1336,27.6756,28.0223,28.3478
1999-12-02,93.06,95.25,92.87,94.81,27736900.0,59.324,27.9797,28.2721,28.7427
1999-12-03,95.81,97.12,95.73,96.12,32050300.0,62.3836,28.3264,28.5503,29.163
1999-12-06,95.25,97.19,94.75,95.44,24549100.0,59.8663,28.6191,28.7396,29.3958
1999-12-07,94.75,94.87,92.87,93.0,28429600.0,51.7908,28.718,28.7569,29.308
