Datum,Eroeffnung,Tageshoch,Tagestief,Schluss,Umsatz,RSI,SMA,EMA,DEMA
1999-11-01,55.75,56.38,55.25,56.31,896200.0,0.0,0.0,0.0,0.0
1999-11-02,55.5,55.94,52.5,52.5,1542600.0,0.0,0.0,0.0,0.0
1999-11-03,51.5,51.56,47.75,50.19,3235000.0,0.0,0.0,0.0,0.0
1999-11-04,50.06,51.25,49.88,50.38,1494300.0,0.0,0.0,0.0,0.0
1999-11-05,50.19,50.81,47.0,47.94,1653700.0,0.0,0.0,0.0,0.0
1999-11-08,47.13,47.44,45.38,46.88,2252400.0,0.0,0.0,0.0,0.0
1999-11-09,46.88,48.13,46.25,47.44,1284600.0,0.0,0.0,0.0,0.0
1999-11-10,47.19,48.56,46.63,47.0,1015400.0,0.0,0.0,0.0,0.0
1999-11-11,47.25,47.31,46.0,46.13,951000.0,0.0,0.0,0.0,0.0
1999-11-12,46.38,46.75,45.5,46.13,679100.0,0.0,4.5303,4.5303,0.0
1999-11-15,46.25,47.69,45.63,47.31,1095200.0,0.0,4.4472,4.5004,0.0
1999-11-16,47.06,47.75,44.06,44.31,1616100.0,0.0,4.3716,4.4256,0.0
1999-11-17,44.25,45.25,44.06,44.25,2818400.0,0.0,4.3168,4.3634,0.0
1999-11-18,45.0,47.38,44.75,47.0,2740500.0,0.0,4.2856,4.3587,0.0
1999-11-19,49.5,49.63,48.0,49.25,2086800.0,33.1262,4.2977,4.3926,0.0
1999-11-22,49.0,49.38,47.81,48.56,934100.0,31.9899,4.3132,4.4087,0.0
1999-11-23,48.44,48.5,47.13,47.38,892100.0,30.0891,4.3127,4.4021,0.0
1999-11-24,47.44,47.5,46.19,46.56,516600.0,28.8081,4.3086,4.383,0.0
1999-11-26,47.0,47.38,46.63,47.0,182500.0,30.5175,4.3166,4.3747,4.3354
1999-11-29,45.81,46.63,45.81,46.38,714500.0,29.4446,4.3189,4.3575,4.3113
1999-11-30,46.38,46.75,45.88,46.0,1062000.0,28.7769,4.3068,4.3371,4.2826
