Datum,Eroeffnung,Tageshoch,Tagestief,Schluss,Umsatz,RSI,SMA,EMA,DEMA
2010-06-29,19.0,25.0,17.54,23.89,18766300.0,0.0,0.0,0.0,0.0
2010-06-30,25.79,30.4192,23.3,23.83,17187100.0,0.0,0.0,0.0,0.0
2010-07-01,25.0,25.92,20.27,21.96,8218800.0,0.0,0.0,0.0,0.0
2010-07-02,23.0,23.1,18.71,19.2,5139800.0,0.0,0.0,0.0,0.0
2010-07-06,20.0,20.0,15.83,16.11,6866900.0,0.0,0.0,0.0,0.0
2010-07-07,16.4,16.63,14.98,15.8,6921700.0,0.0,0.0,0.0,0.0
2010-07-08,16.14,17.52,15.57,17.46,7711400.0,0.0,0.0,0.0,0.0
2010-07-09,17.58,17.9,16.55,17.4,4050600.0,0.0,0.0,0.0,0.0
2010-07-12,17.95,18.07,17.0,17.05,2202500.0,0.0,0.0,0.0,0.0
2010-07-13,17.3938,18.64,16.9,18.14,2680100.0,0.0,1.2723,1.2723,0.0
2010-07-14,17.94,20.15,17.7601,19.84,4195200.0,0.0,1.2453,1.2814,0.0
2010-07-15,19.94,21.5,19.0,19.89,3739800.0,0.0,1.219,1.2895,0.0
2010-07-16,20.7,21.3,20.05,20.64,2621300.0,0.0,1.2102,1.3053,0.0
2010-07-19,21.37,22.25,20.92,21.91,2486500.0,0.0,1.2283,1.3335,0.0
2010-07-20,21.85,21.85,20.05,20.3,1825300.0,39.2063,1.2562,1.3371,0.0
2010-07-21,20.66,20.9,19.5,20.22,1252500.0,39.0042,1.2857,1.3391,0.0
2010-07-22,20.5,21.25,20.37,21.0,957800.0,42.1356,1.3093,1.3502,0.0
2010-07-23,21.19,21.56,21.06,21.29,653600.0,43.3011,1.3352,1.3627,0.0
2010-07-26,21.5,21.5,20.3,20.95,922200.0,42.2272,1.3612,1.3689,1.4138
2010-07-27,20.91,21.18,20.26,20.55,619700.0,40.9408,1.3773,1.3691,1.406
2010-07-28,20.55,20.9,20.51,20.72,467200.0,41.7529,1.3831,1.3713,1.4033
2010-07-29,20.77,20.88,20.0,20.35,616000.0,40.4492,1.3862,1.3687,1.3927
2010-07-30,20.2,20.44,19.55,19.94,426900.0,38.9961,1.3815,1.3615,1.3753
2010-08-02,20.5,20.97,20.333,20.92,718100.0,44.1597,1.3749,1.3675,1.3838
2010-08-03,21.0,21.95,20.82,21.95,1230500.0,49.0418,1.3859,1.385,1.4125
2010-08-04,21.95,22.18,20.85,21.26,913000.0,46.1321,1.3929,1.3908,1.4182
2010-08-05,21.54,21.55,20.05,20.45,796200.0,42.9132,1.3892,1.3858,1.4041
2010-08-06,20.1,20.1601,19.52,19.59,741900.0,39.7425,1.3779,1.3713,1.3744
2010-08-09,19.9,19.98,19.45,19.6,812700.0,39.7982,1.3689,1.3596,1.3525
