Datum,Eroeffnung,Tageshoch,Tagestief,Schluss,Umsatz,RSI,SMA,EMA,DEMA
2004-08-19,100.01,104.06,95.96,100.335,44659000.0,0.0,0.0,0.0,0.0
2004-08-20,101.01,109.08,100.5,108.31,22834300.0,0.0,0.0,0.0,0.0
2004-08-23,110.76,113.48,109.05,109.4,18256100.0,0.0,0.0,0.0,0.0
2004-08-24,111.24,111.6,103.57,104.87,15247300.0,0.0,0.0,0.0,0.0
2004-08-25,104.76,108.0,103.88,106.0,9188600.0,0.0,0.0,0.0,0.0
2004-08-26,104.95,107.95,104.66,107.91,7094800.0,0.0,0.0,0.0,0.0
2004-08-27,108.1,108.62,105.69,106.15,6211700.0,0.0,0.0,0.0,0.0
2004-08-30,105.28,105.49,102.01,102.01,5196700.0,0.0,0.0,0.0,0.0
2004-08-31,102.32,103.71,102.16,102.37,4917800.0,0.0,0.0,0.0,0.0
2004-09-01,102.7,102.97,99.67,100.25,9138200.0,0.0,2.6271,2.6271,0.0
2004-09-02,99.09,102.37,98.94,101.51,15118600.0,0.0,2.6301,2.6123,0.0
2004-09-03,100.95,101.74,99.32,100.01,5152400.0,0.0,2.6093,2.5933,0.0
2004-09-07,101.01,102.0,99.61,101.58,5847500.0,0.0,2.5896,2.585,0.0
2004-09-08,100.74,103.03,100.5,102.3,4985600.0,0.0,2.5832,2.5814,0.0
2004-09-09,102.5,102.71,101.0,102.31,4061700.0,53.2835,2.5739,2.5786,0.0
2004-09-10,101.47,106.56,101.3,105.33,8698800.0,57.8424,2.5675,2.59,0.0
2004-09-13,106.63,108.41,106.46,107.5,7844100.0,60.8024,2.5709,2.6092,0.0
2004-09-14,107.44,112.0,106.79,111.49,10828900.0,65.5868,2.5946,2.6432,0.0
2004-09-15,110.56,114.23,110.2,112.0,10713000.0,66.1555,2.6188,2.6733,2.7372
2004-09-16,112.34,115.8,111.65,113.97,9266300.0,68.3323,2.6532,2.7069,2.7867
2004-09-17,114.42,117.49,113.55,117.49,9472500.0,71.8199,2.6933,2.7504,2.8513
2004-09-20,116.95,121.6,116.77,119.36,10628700.0,73.4903,2.7418,2.7946,2.9132
2004-09-21,120.2,120.42,117.51,117.84,7228700.0,69.8653,2.7826,2.8237,2.9447
2004-09-22,117.45,119.67,116.81,118.38,7581200.0,70.4234,2.8229,2.8501,2.9707
2004-09-23,118.84,122.63,117.02,120.82,8535600.0,72.8688,2.8693,2.8828,3.0082
2004-09-24,120.97,124.1,119.76,119.83,9123400.0,70.3281,2.9057,2.905,3.0258
2004-09-27,119.56,120.88,117.8,118.26,7066100.0,66.3756,2.9327,2.916,3.0239
2004-09-28,121.15,127.4,120.21,126.86,16929000.0,74.7476,2.9712,2.9643,3.092
2004-09-29,126.53,135.02,126.23,131.08,30516400.0,77.6838,3.019,3.023,3.1755
2004-09-30,129.899,132.3,129.0,129.6,13758000.0,74.4158,3.0582,3.0643,3.2228
2004-10-01,130.8,134.24,128.9,132.58,15124800.0,76.5545,3.0961,3.1116,3.2801
