date,1. open,2. high,3. low,4. close,5. volume,RSI,EMA
1999-11-01,68.06,71.88,66.31,69.13,12824100.0,,
1999-11-02,69.75,70.0,65.06,66.44,13243200.0,,
1999-11-03,68.19,68.5,65.0,65.81,10772100.0,,
1999-11-04,67.19,67.19,61.0,63.06,16759200.0,,
1999-11-05,64.75,65.5,62.25,64.94,11091400.0,,
1999-11-08,64.81,80.0,63.5,78.0,32339400.0,,
1999-11-09,80.88,83.06,70.0,70.81,26477100.0,,
1999-11-10,71.56,75.0,70.13,72.0,11506700.0,,
1999-11-11,74.75,75.0,71.38,73.0,9293900.0,,
1999-11-12,73.75,75.0,70.81,74.94,10319600.0,,3.4906
1999-11-15,75.63,76.0,73.31,73.5,6437200.0,,3.5242
1999-11-16,74.25,79.63,73.75,78.94,15238700.0,,3.601
1999-11-17,77.94,80.0,75.44,76.5,6657400.0,,3.6418
1999-11-18,76.75,78.19,75.25,77.94,5810400.0,,3.6882
1999-11-19,77.88,78.13,76.06,77.94,5760600.0,60.2228,3.7261
1999-11-22,77.88,82.5,76.0,80.5,10708400.0,62.6147,3.7805
1999-11-23,80.38,85.63,76.25,81.75,18332500.0,63.7606,3.8363
1999-11-24,84.25,87.75,83.25,87.25,14483100.0,68.3565,3.932
1999-11-26,91.06,95.13,90.5,93.13,11496000.0,72.3882,4.0637
1999-11-29,95.5,96.88,90.13,90.44,18053700.0,68.1127,4.147
1999-11-30,88.27,88.88,83.81,85.06,13465500.0,60.4257,4.1663
1999-12-01,87.25,87.63,81.97,85.0,10663600.0,60.3439,4.1815
1999-12-02,86.0,91.31,85.63,89.06,9538700.0,63.9044,4.2309
1999-12-03,92.5,93.38,86.06,86.56,11151200.0,60.3134,4.2485
1999-12-06,86.88,89.88,84.69,87.38,9199200.0,61.0858,4.2704
1999-12-07,88.0,88.0,84.38,86.06,6727100.0,59.092,4.2764
1999-12-08,86.81,93.0,86.75,88.0,12867200.0,61.1015,4.2988
1999-12-09,95.25,113.0,93.44,103.6,41364600.0,72.7102,4.4591
1999-12-10,111.4,112.0,104.4,106.7,14929000.0,74.3484,4.6183
1999-12-13,106.6,106.6,101.5,102.5,8653700.0,68.3607,4.7104
1999-12-14,103.8,104.0,95.0,95.63,10107900.0,59.8675,4.7234
1999-12-15,92.88,99.44,91.0,96.5,10133500.0,60.5361,4.7418
1999-12-16,98.25,98.75,93.5,94.88,7004400.0,58.5789,4.7422
1999-12-17,97.19,97.63,93.81,94.06,5955900.0,57.5644,4.7351
1999-12-20,97.75,101.6,95.06,97.0,10566600.0,60.2242,4.756
1999-12-21,96.56,100.4,96.56,99.88,9509500.0,62.6912,4.7993
1999-12-22,100.6,100.6,95.5,97.69,5921000.0,59.661,4.8148
1999-12-23,98.0,99.0,89.06,90.0,12914600.0,50.4412,4.7575
1999-12-27,87.75,88.25,80.13,81.13,16523800.0,42.3178,4.6301
1999-12-28,83.06,86.5,81.56,82.31,10304300.0,43.6187,4.5365
1999-12-29,83.44,85.38,82.63,83.5,5913000.0,44.9666,4.4708
1999-12-30,84.63,85.13,78.5,79.06,9256600.0,41.0256,4.3766
1999-12-31,79.31,79.38,76.0,76.13,7270700.0,38.6202,4.273
2000-01-03,81.5,89.56,80.0,89.38,16117600.0,52.2539,4.3086
2000-01-04,85.38,91.5,81.75,81.94,17487400.0,46.0664,4.2701
2000-01-05,70.75,75.13,69.63,71.75,38457400.0,39.2169,4.146
2000-01-06,71.31,72.69,64.0,65.56,18752000.0,35.7405,3.9882
2000-01-07,67.0,70.5,66.19,69.56,10505400.0,39.4743,3.8954
2000-01-10,72.56,72.63,65.56,69.19,14757900.0,39.2472,3.8162
2000-01-11,66.88,70.0,65.0,66.75,10532700.0,37.7061,3.7291
2000-01-12,67.88,68.0,63.0,63.56,10804500.0,35.7308,3.6289
